feature_name,seed_phrase,weight
Comfort,room suite room,0.3716
Comfort,room bigger room,0.7698
Price,charge room charges,0.6958
Service,staff bell desk,0.6205
Service,service staff restaurant,0.5896
Comfort,best rooms,0.7094
Location,distance convenient,0.1666
Service,desk staff upon,0.4182
Comfort,room sitting,0.3019
Comfort,room sitting area,0.2864
Comfort,room block noise,-0.2651
Service,nothing front desk,-0.3180
Service,front desk except,0.5647
Comfort,room flooded,0.0843
Service,jesse front desk,0.7300
Service,front desk incredibly,0.5502
Price,good deal rate,0.6305
Price,rate worth stay,0.5492
Comfort,room real,0.3620
Service,valet staff,0.3053
Comfort,room night room,0.3704
Comfort,noisy room next,-0.1757
Price,price rate,0.4223
Service,reception desk held,0.2688
Service,front desk gal,0.1995
Service,clerk front desk,0.1393
Service,front desk ws,0.8035
Service,front desk complaint,-0.0885
Comfort,smallest room ever,0.1477
Comfort,spectacular room,0.3757
Service,fantastic staff,0.7936
Comfort,rooms clean bathroom,0.5700
Service,staff treated,0.4738
Service,staff treated us,0.3292
Location,convenient location within,0.6127
Location,due location,0.2578
Comfort,rooms coffee,0.1998
Price,well worth price,0.5583
Comfort,room different,0.1393
Comfort,rooms middle,0.2488
Comfort,bed requested,-0.1362
Comfort,smallest hotel room,0.1912
Service,staff encountered friendly,0.6970
Comfort,sized room,0.5153
Price,pay rack rate,0.4958
Comfort,coffee makers room,0.0288
Comfort,makers room,-0.0731
Comfort,room beautiful clean,0.7858
Comfort,facilities room,0.1323
Location,walk around corner,0.3299
Comfort,room room floor,0.3220
Comfort,elevator room room,0.0584
Price,bargain price,0.4602
Price,rate given,-0.0348
Service,front desk welcoming,0.6519
Price,paying full price,0.2394
Location,house great location,0.8026
Service,service desk clerk,0.4153
Service,excellent service desk,0.7011
Service,indifferent front desk,-0.0398
Comfort,hours room,0.2472
Comfort,friend room,0.1584
Service,staff concierge service,0.4689
Comfort,tower rooms rooms,0.2100
Comfort,bed queen,0.2503
Comfort,room one queen,0.2746
Service,gentleman front,0.2562
Comfort,yes rooms,0.4749
Location,distance theater,0.4662
Comfort,put room,0.0825
Location,area easy walk,0.6329
Location,beautiful location,0.6678
Service,staff overall staff,0.6094
Service,service never,0.2442
Comfort,worse room,-0.5421
Comfort,king sized room,0.4668
Comfort,rooms room average,0.1999
Comfort,older room,0.2805
Price,fee charge,0.0664
Comfort,coffee pot room,-0.0261
Comfort,room concierge,0.4940
Comfort,room huge beds,0.6544
Price,value prices,0.6523
Comfort,room completely,0.0070
Comfort,room website,0.2838
Service,desk manager made,0.5515
Service,front desk bellhop,0.6935
Service,check would,0.1840
Location,area bar area,0.5832
Location,location wonderful convenient,0.5906
Comfort,room smelled room,0.0758
Comfort,bed comfey room,0.3119
Comfort,room tiny bed,0.0175
Comfort,coffee makers rooms,-0.2710
Comfort,makers rooms,-0.2710
Comfort,room several,0.1108
Service,check lobby,-0.0443
Comfort,huge living room,0.4913
Service,pm check,0.2442
Comfort,table room,0.0801
Comfort,room small rooms,0.2876
Service,front desk multiple,-0.1399
Service,check bell service,0.5677
Service,check desk greeted,0.1050
Service,front desk assigned,0.2363
Service,front desk find,0.0057
Service,service next,0.3126
Comfort,room knew room,-0.4922
Comfort,bed room next,0.5500
Service,service staff could,0.3634
Comfort,room small air,0.0874
Service,lobby beautiful staff,0.8279
Price,deal rate would,0.0382
Location,location convenient tourist,-0.2225
Location,downtown location convenient,0.3343
Service,special check desk,0.6305
Location,area enjoy,0.5302
Service,touch front desk,0.1579
Service,food service excellent,0.5813
Service,front desk dining,0.6732
Comfort,room executive suite,0.0432
Comfort,room big windows,0.8401
Service,checkout service,0.3126
Comfort,room sure room,0.1698
Service,front desk disappointed,-0.0553
Service,service everyone staff,0.8237
Comfort,room junior,0.4296
Comfort,room junior suite,0.4194
Comfort,room champagne,0.5301
Comfort,room two people,0.0841
Location,location could beat,0.2263
Service,front desk extra,0.2219
Comfort,hotel nice rooms,0.6552
Service,person check desk,0.1728
Service,person check,0.2423
Comfort,king rooms,0.0621
Price,find good deal,0.7003
Service,check speedy staff,0.5364
Price,charge per person,0.0333
Service,standard front desk,0.8867
Service,service lacking,0.0737
Service,arrived early check,0.1001
Comfort,room yet ready,0.0205
Service,manager housekeeping manager,-0.2645
Service,housekeeping manager,-0.0729
Comfort,room spacious well,0.4282
Comfort,room terrific bed,0.6991
Service,service service great,0.7726
Service,desk told us,-0.0237
Service,front desk gets,0.3818
Service,sure front desk,0.5648
Price,rate good rate,0.7601
Service,excellent room service,0.5765
Comfort,excellent room service,0.5765
Location,great hotel location,0.6666
Comfort,elegant room,0.8169
Service,usual front desk,0.3150
Service,staff absolutely,0.6000
Service,front desk catering,0.9003
Service,excellent services staff,0.8848
Service,staff genuine helpful,0.7522
Service,service incredible,0.3358
Service,service service never,0.5559
Service,desk staff unconcerned,-0.0723
Service,service staff wonderful,0.7057
Service,staff service truly,0.6550
Service,service staff set,0.7720
Comfort,rooms faced,0.1407
Service,notify front desk,-0.3026
Location,different location,0.3089
Service,staff rude unfriendly,-0.7346
Service,clean staff rude,-0.0705
Service,desk checked,0.2554
Service,front desk receive,-0.1611
Service,desk clerk checked,-0.0323
Service,excellent check check,0.4339
Service,check gave,0.0519
Location,north location,0.2481
Service,reception desk room,0.6580
Comfort,room away train,0.2048
Comfort,noise level,0.0627
Comfort,style room,0.3716
Comfort,room another hotel,-0.1641
Comfort,room inside,0.2391
Service,different front desk,0.1775
Service,desk staff fabulous,0.8885
Comfort,room away el,0.1260
Location,property convenient location,0.6379
Service,front desk soon,-0.2971
Location,train stations,0.4590
Comfort,bed large bathroom,0.7388
Comfort,comfortable bed large,0.7699
Comfort,comfortable rooms beds,0.6135
Comfort,request room away,0.1404
Comfort,suite double beds,0.4652
Service,check early,0.1756
Comfort,room fifth,0.1295
Comfort,room fifth floor,0.1061
Service,duty front desk,0.3249
Service,staff valet desk,0.6747
Location,great convenient location,0.7349
Service,staff borderline rude,-0.5143
Location,stations close,0.4625
Service,early checkin,0.2599
Location,convenient location able,0.4438
Comfort,use sofa bed,-0.1117
Comfort,noise level rooms,-0.5093
Comfort,advantage room,0.4765
Service,end reception staff,0.3249
Comfort,beds excellent pillows,0.6634
Location,walk two,0.2509
Service,front desk claimed,-0.1604
Service,coffee room service,-0.0436
Comfort,coffee room service,-0.0436
Service,front desk using,-0.0633
Service,staff extremely professional,0.5984
Service,room service arrived,0.3093
Service,service arrived,0.2223
Comfort,room service arrived,0.3093
Service,service bar staff,0.6159
Comfort,floor room nice,0.3619
Comfort,noise street,0.0328
Comfort,noise floor room,0.0163
Comfort,room keys room,0.3072
Comfort,double queen room,0.2944
Service,assist front desk,-0.0743
Service,staff helpful made,0.6581
Service,staff makes,0.4799
Comfort,noise would,0.0328
Comfort,bed enough room,0.6163
Service,outstanding service front,0.7709
Comfort,size room comfortable,0.6789
Service,spacious staff,0.7923
Comfort,room rooms nice,0.6690
Service,staff friendly welcoming,0.7715
Service,staff helpfull,0.4598
Cleanliness,spotless room,0.4012
Comfort,spotless room,0.4169
Comfort,bathroom comfortable bed,0.7647
Service,call room service,-0.0700
Comfort,call room service,-0.0017
Service,desk staff accommodating,0.6687
Service,reception desk concierge,0.6428
Service,went way helpful,0.6225
Service,way helpful,0.6225
Service,manager hotel staff,-0.1939
Comfort,long room,0.0624
Comfort,room almost room,0.2474
Location,distance lots,0.5994
Service,front desk since,0.1194
Comfort,rooms window,0.0463
Comfort,air conditioners,0.0169
Comfort,plenty room room,0.6236
Comfort,chairs room,0.2900
Service,guy reception,0.1509
Cleanliness,floor clean,0.5994
Price,fine price,0.2840
Location,location half,0.3616
Location,location half block,0.3616
Comfort,deal time room,0.5494
Price,spend great deal,0.5494
Price,deal time room,0.5494
Price,deal time,0.5601
Price,great deal time,0.6860
Comfort,minutes room,0.1901
Service,desk lady,0.0644
Price,charge per bag,-0.1716
Service,tv front desk,0.1704
Service,idiot front desk,-0.5830
Comfort,room room little,0.6507
Comfort,room next elevator,0.0894
Comfort,room mold,-0.1371
Location,area nice walk,0.6934
Location,location location literally,0.2890
Comfort,sleep rooms,0.2776
Comfort,place sleep rooms,0.8678
Location,great price location,0.5227
Price,great price location,0.5227
Comfort,worn room clean,0.7278
Comfort,worn room,0.4566
Comfort,bed huge pillows,0.4943
Service,service bring,0.2272
Comfort,stayed room room,0.4172
Comfort,time room sleep,0.5000
Comfort,room dirty beds,-0.5396
Cleanliness,bathroom dirty,-0.4364
Service,attractive staff helpful,0.6932
Service,staff reasonably,0.4750
Cleanliness,dingy dirty,-0.3879
Service,staff rude unpleasant,-0.8145
Service,front desk means,-0.5457
Comfort,air conditioner work,-0.1027
Service,staff desk rude,-0.5743
Comfort,rooms three,-0.0463
Comfort,room larger bed,0.3321
Comfort,room clean neat,0.7466
Comfort,room broken,-0.3268
Service,clean staff front,0.6322
Comfort,second room much,0.0223
Comfort,single bed,0.1514
Comfort,single bed rooms,0.4021
Service,trip front desk,0.1007
Comfort,air vents,-0.1571
Comfort,room westin,0.3675
Comfort,room comfortable also,0.6459
Service,front desk later,-0.5013
Price,deal westin,0.5403
Location,distance area felt,0.7078
Service,front desk long,-0.3466
Comfort,river rooms,0.3843
Location,convenient location many,0.5187
Service,bar service,0.2533
Location,location right river,0.4514
Service,desk let,0.2722
Comfort,comfortable bed flat,0.8028
Comfort,bed flat,0.7733
Comfort,bed flat screen,0.7859
Comfort,comfortable clean room,0.8560
Service,staff helpful provided,0.6446
Comfort,room floor overlooked,0.0371
Price,deal cost,0.4667
Service,service checkin,0.5595
Comfort,rooms nice views,0.4447
Service,service impecable staff,-0.0012
Location,good location near,0.5779
Comfort,rooms end,-0.1513
Service,call guest services,0.1837
Service,front desk calls,0.0188
Service,front front,0.0661
Service,desk calls,-0.0138
Service,front desk certainly,0.5334
Service,front desk worth,0.0442
Comfort,room room next,-0.2993
Service,manager made,0.3898
Comfort,room room room,-0.2201
Comfort,full bed room,0.5678
Location,excellent location across,0.6971
Service,staff westin,0.6153
Comfort,room musty,0.0377
Location,convenient location would,0.6892
Service,service ok,0.2815
Comfort,rooms across,-0.1725
Comfort,past room,0.2863
Comfort,room across,0.1097
Comfort,room pretty small,0.5957
Service,service though,0.2285
Comfort,room loved room,0.4750
Comfort,rooms nice size,0.5125
Comfort,room flat screen,0.3851
Comfort,room noisy first,0.2547
Comfort,nice corner room,0.5058
Comfort,room near elevator,0.0783
Comfort,bed room warm,0.3837
Service,entire front,0.4725
Service,entire front desk,0.5268
Service,desk staff room,0.6869
Comfort,room block,-0.4755
Service,helpfull front desk,0.1477
Comfort,room nearly,-0.1037
Location,wonderful location convenient,0.6758
Location,location convenient walk,0.4512
Location,convenient walk everything,0.6054
Price,outrageous prices,-0.3414
Comfort,elevator noisy,-0.0620
Comfort,room literally,0.5717
Comfort,room worst room,-0.2165
Comfort,room contained,0.1153
Comfort,room nicely appointed,0.6293
Location,location westin,0.5668
Comfort,starwood points room,0.4897
Comfort,points room,0.4105
Price,rate nice,0.4082
Comfort,room evening room,0.4648
Service,colleague front desk,-0.1255
Service,front desk courtesy,-0.3152
Service,understand front desk,-0.3270
Service,express service,0.0121
Service,confused front desk,-0.0684
Comfort,size room room,0.3813
Comfort,bed heavenly,0.6023
Comfort,noise adjacent rooms,0.0829
Service,service line,-0.2081
Service,westin staff,0.3067
Service,quick service,0.5451
Location,westin great location,0.7224
Comfort,beds wonderful,0.7371
Location,location important,0.5334
Comfort,dinner room,-0.0106
Comfort,room costs,0.3401
Price,room costs,0.2863
Comfort,rooms offered,-0.0741
Service,desk found,0.3567
Service,service ok staff,0.5058
Service,ok staff,0.3521
Service,service desk ask,-0.1150
Price,rate reasonable value,0.4555
Location,westin location,0.2528
Comfort,us corner room,0.3509
Comfort,full room,0.4067
Price,rate fee,0.1010
Service,service staff accomodating,-0.3620
Service,many service staff,0.2564
Comfort,bed room floor,0.3845
Service,unprofessional front desk,-0.0684
Comfort,beds westin beds,0.8369
Service,front desk understaffed,-0.1001
Service,concern front desk,-0.1630
Service,desk manager replied,0.5200
Comfort,large room king,0.4656
Comfort,glasses room,0.1124
Comfort,room tastefully decorated,0.4431
Comfort,room tastefully,0.4403
Comfort,room central,0.4157
Comfort,room central air,0.1916
Comfort,central air,0.0541
Comfort,room dressing room,0.6114
Comfort,unit room noisy,-0.2106
Price,stay reasonable price,0.4850
Service,service personal,0.4242
Comfort,room lots room,0.7784
Comfort,warm air,0.2408
Price,reduced rate,0.1092
Comfort,rooms tend,0.0314
Service,desk manager handled,-0.2621
Service,experience front desk,0.1684
Service,slow front desk,-0.2009
Service,nice staff service,0.7845
Price,bargain rate,0.3943
Service,hotels service staff,0.4689
Service,desk manager walked,0.3049
Comfort,room facing street,0.2395
Comfort,beds room would,0.1775
Comfort,room room quiet,0.2362
Service,staff apologetic,-0.0514
Cleanliness,dirty bathroom dirty,-0.7372
Comfort,moved new room,-0.0243
Service,hour room service,0.2259
Comfort,hour room service,0.2259
Comfort,little time room,0.1207
Service,reception staff need,0.2267
Service,front desk counter,0.2346
Price,price weekend,0.5233
Service,front desk agents,0.2813
Location,neighborhood near,0.6109
Location,nice residential area,0.6827
Service,front desk getting,0.2666
Service,service check desk,0.1640
Service,great service check,0.6776
Comfort,beds lots pillows,0.5339
Service,hesitation front desk,-0.5633
Location,location amp,0.5875
Location,great location amp,0.8144
Service,front desk management,-0.0074
Service,desk management staff,0.0751
Location,great location everything,0.7401
Location,good thing location,0.4572
Location,thing location,0.5192
Service,special staff desk,0.8756
Comfort,room friends room,0.4232
Service,staff managers,0.3873
Price,tried charge,-0.0280
Comfort,bed room took,0.3025
Service,front desk access,0.1475
Comfort,double beds small,0.2253
Price,better hotel price,0.3784
Service,top desk staff,0.3221
Service,staff everywhere,0.4561
Service,flawless service,0.8108
Service,front desk cordial,0.6778
Service,staff phenomenal helpful,0.6391
Service,day checkout,-0.0316
Comfort,spa rooms,0.1943
Service,small front desk,0.3465
Comfort,room outstanding,0.7378
Location,bath area,0.3079
Comfort,charges room,-0.1034
Price,charges room,-0.1034
Service,service quality,0.2143
Comfort,room ending,0.2584
Comfort,extra pillow,0.1910
Comfort,pillow blanket,0.3515
Comfort,upon arrival room,0.2680
Service,staff trump,0.5155
Comfort,room show,-0.0906
Service,attention service,0.6023
Comfort,room trump,0.3616
Comfort,room least,0.1386
Service,desk check status,-0.1433
Service,bottle service,0.1079
Service,line staff,0.5428
Service,wait staff front,0.8117
Comfort,room room tiny,0.2750
Service,staff desks,0.1598
Location,station stop,-0.0181
Price,price line,0.2638
Service,door reception desk,0.0728
Comfort,upgraded larger room,0.3640
Service,acura car service,0.5731
Service,quick staff helpful,0.5379
Comfort,complaint noise room,-0.4269
Comfort,room bigger,0.2215
Price,charges removed,-0.0411
Price,hotel rates,0.3474
Service,really friendly helpful,0.7919
Service,fine staff,0.4211
Service,desk night,0.3141
Comfort,lights room bed,0.2218
Location,lobby area nice,0.4172
Service,conversation front desk,0.0629
Comfort,floor noise,0.0790
Service,desk moved,-0.1485
Service,desk super,0.6274
Service,welcome desk,0.4896
Comfort,come room,-0.0164
Comfort,rooms w,0.6424
Service,desk manager went,0.5322
Comfort,much larger room,0.2767
Service,matt front desk,0.8168
Comfort,room sit bed,0.3395
Location,location business area,0.7537
Comfort,room one double,0.0488
Comfort,disturb sleep,0.0169
Service,help desk,0.6329
Price,charge night,0.1122
Service,staff young,0.4242
Comfort,room room smallest,0.4309
Service,service person,0.0674
Comfort,rooms small well,0.6402
Comfort,rooms stylish,0.5159
Comfort,room spectacular room,0.5877
Comfort,room turn,-0.0182
Comfort,thermostat room,-0.1425
Price,price pleased price,0.4653
Comfort,one queen bed,0.2291
Service,kind helpful,0.8047
Comfort,bigger bed,0.0449
Location,location worked,0.5668
Location,location worked well,0.5729
Comfort,anything room,0.0095
Comfort,room minutes room,0.4981
Service,service great food,0.6883
Comfort,halls room,-0.0030
Comfort,tiny tiny room,-0.0672
Comfort,much nicer room,0.4872
Location,location w,0.3620
Comfort,room wide,-0.0290
Service,front bed,-0.0077
Comfort,checking room,0.4787
Comfort,room roll bed,0.3919
Service,staff general,0.4139
Location,location found location,0.7636
Service,service staff high,0.6015
Service,desk staff concierges,0.7121
Comfort,specific room,0.0866
Comfort,room room available,0.1311
Comfort,room means,-0.1702
Comfort,bed king room,0.2107
Comfort,beds comforters pillows,0.6604
Service,room service service,0.1587
Service,service service charge,-0.0219
Service,front desk yet,-0.1240
Comfort,beds breakfast room,0.3247
Service,tell front desk,0.1651
Price,price list,-0.0211
Comfort,rooms contemporary,0.4494
Location,area want,0.2604
Service,lady desk,0.1995
Service,snobby front desk,-0.6180
Comfort,beds rather,-0.0759
Comfort,walls rooms,0.2513
Comfort,decoration room,0.3776
Comfort,rooms cool,0.4896
Comfort,nights room,0.2732
Service,service find service,0.8606
Comfort,bathroom bed,0.0905
Comfort,room always room,0.4014
Service,front office manager,0.0719
Comfort,end bed,0.1014
Comfort,w rooms,0.1978
Comfort,room run,-0.2415
Service,desk helpful needed,0.7828
Comfort,wanted room,0.0442
Comfort,rooms however,0.3107
Comfort,least room,0.0868
Service,staff top notch,0.5271
Comfort,rooms small much,0.3321
Comfort,small much room,0.4595
Service,service w,0.2581
Comfort,room face,0.2204
Service,desk staff warm,0.5357
Service,front desk promptly,0.0631
Comfort,room starwood,0.3507
Service,everyone staff,0.5546
Comfort,color scheme room,0.1035
Comfort,scheme room,0.1035
Comfort,everything rooms,0.3960
Comfort,room bed bathroom,0.2134
Location,walk would,0.2969
Comfort,sharing room,0.6210
Comfort,bed comfortable rooms,0.6102
Comfort,rooms plasma,0.4208
Comfort,rooms plasma tv,0.3557
Comfort,rooms amp,0.3113
Location,avenue minute walk,-0.0864
Service,person reception desk,0.2897
Service,attitude staff,0.0923
Service,registration desk,0.2333
Service,front desk mgr,0.6766
Service,w staff,0.5765
Service,front desk order,0.2468
Comfort,bed room comfortable,0.6100
Comfort,found room,0.3149
Service,hotel staff ever,0.4051
Comfort,room faced city,0.1522
Service,staff polite check,0.2634
Comfort,small rooms rooms,0.3598
Comfort,room room shabby,-0.5231
Service,service staff w,0.5757
Service,exceptional service staff,0.6265
Service,staff w,0.5880
Comfort,room big room,0.3291
Comfort,rooms loud,0.1547
Service,efficiency front desk,0.6320
Comfort,star hotel room,0.1606
Price,charge charge,0.2327
Service,first front desk,-0.8028
Service,staff service received,0.1703
Comfort,room beds wonderful,0.7824
Comfort,starbucks coffee room,0.4600
Location,area internet,0.3879
Comfort,room relaxing,0.6860
Service,front desk couple,0.3295
Service,front desk nothing,0.0734
Service,receptionist front desk,-0.1516
Comfort,group rooms,0.1361
Price,deal via,0.3771
Comfort,rooms big beds,0.5449
Comfort,big beds,0.5561
Service,desk girl,0.1609
Comfort,rooms nicely furnished,0.7128
Comfort,rooms beds huge,0.5491
Service,luggage check check,0.3171
Comfort,room upgrade available,0.1701
Service,straight front desk,-0.0078
Comfort,room room excellent,0.8114
Location,area safe area,0.6148
Comfort,bed pull,0.2232
Comfort,bed pull sofa,0.4092
Service,reception staff checking,0.2415
Comfort,rooms enough room,0.5369
Comfort,people room next,0.3036
Service,hungry front desk,0.1124
Price,rate expedia,0.4496
Comfort,beds requested,0.2707
Location,sink area,0.3645
Price,rate though,0.1577
Comfort,comfortable clean rooms,0.8974
Comfort,rooms standard beds,0.3155
Location,perfect location walk,0.6300
Service,staff bellman front,0.6609
Comfort,room order,0.0748
Service,staff friendly check,0.5724
Comfort,emergency room,-0.3845
Comfort,room sofa bed,0.2289
Comfort,room friday,0.1478
Service,front desk transferred,0.0003
Comfort,double beds one,0.3210
Location,long distance,0.1605
Service,desk staff cool,0.1023
Comfort,rooms clean rooms,0.3710
Comfort,room room left,0.1060
Comfort,room specify room,0.6856
Location,distance well,0.3765
Service,side front desk,0.0705
Price,deal price location,0.6650
Comfort,afternoon room,0.1028
Service,department front desk,-0.2466
Service,reception staff seemingly,0.1900
Service,problem reception staff,-0.2711
Cleanliness,resort clean,0.6087
Location,location strip,0.4694
Location,distance strip,0.2648
Comfort,room strip,0.2697
Location,pool areas,0.3168
Service,strip shuttle service,0.1082
Location,location far strip,-0.0153
Comfort,room heat,-0.1396
Location,walk strip,0.3019
Service,check staff kind,0.1072
Comfort,reasonable room,0.4240
Service,calling front desk,-0.0217
Comfort,big living room,0.4597
Comfort,rooms closer,-0.0376
Location,walk mile,0.0316
Comfort,room disabled room,0.3286
Comfort,mens room,0.0228
Comfort,fireplace room,0.4647
Location,small kitchen area,0.3729
Location,area fridge,0.3726
Service,staff helpful pools,0.8384
Location,pool areas clean,0.6789
Service,service terrible manager,-0.8173
Price,minimum charge,0.2146
Price,charges fee,-0.3713
Service,computer front desk,0.3007
Comfort,room key work,0.0640
Service,staff helpful use,0.4215
Comfort,room small fridge,0.2883
Service,staff extremely rude,-0.4444
Service,great front,0.7326
Service,poor front desk,-0.4083
Service,dirty front desk,-0.7541
Service,desk staff horrible,-0.7582
Comfort,nice room room,0.2873
Comfort,room worn,-0.0432
Service,ordering room service,0.2688
Service,front desk held,0.4664
Service,best front desk,0.1982
Comfort,room new air,0.4401
Location,area looks,0.3657
Service,front desk customer,-0.1804
Service,desk customer service,-0.0407
Service,gal front desk,0.6935
Service,matter front desk,-0.5175
Service,company front desk,0.4378
Cleanliness,clean well stocked,0.6946
Service,shuttle service strip,0.4144
Service,service strip,0.3683
Comfort,super quiet rooms,0.7528
Service,desk personnel helpful,0.4065
Comfort,loud room,0.2811
Service,desk staff give,-0.0988
Comfort,rooms single beds,0.1217
Comfort,air conditioner room,0.1412
Service,lunch front desk,0.8623
Comfort,bed uncomfortable pillows,-0.6293
Location,walk mgm,0.3384
Location,minute walk mgm,0.3218
Price,price less,0.2763
Price,best value inn,0.8194
Price,value inn,0.8194
Price,america best value,0.7955
Service,front desk try,-0.0174
Service,staff friendly good,0.8086
Comfort,beds room big,0.3406
Comfort,room one person,-0.1006
Location,monorail station,0.2932
Location,safe location,0.6987
Comfort,cheap room sleep,0.4788
Price,price amazing,0.7698
Comfort,beds three,0.4331
Location,boulder station,0.1232
Price,deal money,0.6218
Price,prices food,0.1645
Comfort,beds though,0.1232
Comfort,room rooms ready,0.2192
Comfort,room basic beds,0.3234
Comfort,air mattress,0.4395
Service,toothbrush front desk,0.4755
Service,staff reception helpful,0.5736
Service,front desk needed,0.1292
Service,front desk bad,-0.3624
Cleanliness,place dirty,-0.5596
Price,valet charge,0.1360
Location,bad area,-0.3847
Comfort,rooms twice,-0.0400
Price,charge card,0.0694
Service,front desk note,0.5682
Price,best rates,0.7372
Comfort,room locations rooms,0.6212
Price,rate deals,0.6606
Cleanliness,dirty dirty,-0.6999
Cleanliness,dirty dirty dirty,-0.6622
Comfort,double beds beds,0.4400
Price,charge additional,-0.0080
Service,staff member rude,-0.2988
Service,front desk day,0.1504
Service,front desk absolutely,0.2773
Price,different rates,0.1083
Price,hidden fees,-0.1402
Comfort,friends room,0.4881
Comfort,rooms party,0.3635
Location,strip walk,0.1945
Service,front desk yelled,-0.2492
Service,pool front desk,0.6250
Comfort,bed room ready,0.2931
Comfort,room room hotel,0.3524
Comfort,place room,0.4087
Service,service staff quite,0.8592
Service,desk kind helpful,0.8211
Comfort,inside room,0.1582
Location,convenient location strip,0.5847
Comfort,room supposed room,0.4638
Service,member staff reception,0.5336
Comfort,rooms open,0.2497
Comfort,room dirty bed,-0.7833
Comfort,regular hotel room,0.2338
Comfort,room didnt,0.2367
Comfort,least room room,0.3733
Comfort,rooms available room,-0.0127
Comfort,room leave,0.1126
Comfort,room south tower,0.2324
Comfort,room south,0.2096
Comfort,room problems,-0.3070
Comfort,room massive,0.4926
Comfort,beds ok,0.3940
Comfort,vegas room,0.3546
Comfort,room super quiet,0.6623
Comfort,expensive rooms,0.2116
Location,walk walk walk,0.5067
Location,walk walk,0.4472
Comfort,rate rooms,0.0995
Price,rate rooms,0.0995
Service,trick front desk,0.1108
Comfort,room north tower,0.1847
Service,front desk never,0.1661
Comfort,rooms south tower,0.2092
Comfort,rooms south,0.2092
Price,large price,0.0513
Comfort,rooms huge clean,0.8225
Price,deal vegas,0.4688
Location,strip location,0.4266
Comfort,room clean sleep,0.5413
Comfort,room available time,0.2696
Comfort,king room available,0.1912
Service,drink service,0.3834
Comfort,room expected,0.2564
Comfort,room comped,0.2550
Cleanliness,dirty windows,-0.3422
Comfort,north tower rooms,0.2156
Comfort,room thru,0.2498
Comfort,room additional,0.1356
Comfort,rooms room like,0.7459
Comfort,smoking rooms room,0.8346
Service,staff unfriendly rude,-0.7094
Service,front desk concerning,0.0431
Comfort,room spotlessly clean,0.6611
Comfort,room spotlessly,0.6349
Comfort,rooms either,0.0075
Comfort,north tower room,0.2637
Comfort,room big nice,0.5557
Location,value great location,0.8999
Price,value great location,0.8999
Price,great value great,0.8444
Comfort,room view bellagio,0.4613
Comfort,newer rooms,0.4161
Cleanliness,dirty dishes,-0.2648
Comfort,rooms time,0.1192
Comfort,vegas rooms,0.3987
Service,check took,0.2286
Comfort,south tower rooms,0.0987
Comfort,rooms strip,0.2854
Comfort,room always cleaned,-0.0725
Comfort,grade room,0.4929
Location,casino area,0.2695
Location,location good value,0.8010
Price,location good value,0.8010
Location,location centre strip,0.6245
Location,location centre,0.5083
Comfort,free rooms,0.6285
Service,check line,0.0871
Comfort,upgrade rooms,0.3944
Service,check desk clerk,0.0027
Service,line check desk,0.1602
Service,check staff willing,0.0034
Service,staff rest staff,0.8680
Price,price tickets,0.2665
Service,desk rude manager,-0.6573
Price,cost double price,-0.0489
Price,charge resort fee,0.2691
Location,separate vanity area,0.1216
Service,check took minutes,0.3424
Comfort,use room safe,0.4569
Location,location center strip,0.5548
Location,location center,0.5760
Price,value compared hotels,0.7799
Price,value compared,0.7083
Location,neighborhood convenient location,0.4890
Comfort,room always clean,0.6287
Comfort,room fairly clean,0.4007
Service,service trays,0.0874
Service,room service trays,0.0777
Comfort,room service trays,0.0777
Comfort,room cards,0.4490
Price,price central,0.6185
Price,good price central,0.5145
Service,check staff next,-0.1295
Comfort,room nice enough,0.2291
Comfort,rooms first,0.2609
Comfort,rooms first night,0.1527
Comfort,clean room good,0.7069
Comfort,room something room,0.3275
Service,front desk matter,0.2221
Comfort,rooms bally,0.2162
Location,central strip location,0.3399
Comfort,room nothing fancy,0.0910
Price,recommend hotel price,0.6749
Service,time check,0.1955
Location,convenient location next,0.4992
Service,see room service,0.4549
Service,express check,0.2986
Service,drop front desk,-0.0515
Service,check ok,0.3645
Comfort,poker room,0.3299
Service,tip front desk,0.3550
Price,price cant beat,0.5397
Price,price cant,0.4803
Location,location middle strip,0.5845
Cleanliness,dirty stains,-0.4934
Location,walk casino,0.2283
Comfort,room workout room,0.9002
Comfort,room casino,0.3781
Comfort,queen beds comfortable,0.5914
Comfort,time rooms,0.3568
Location,walk casinos,0.3591
Comfort,friends rooms,0.8556
Service,staff service food,0.5695
Comfort,room room always,0.5808
Comfort,room pretty nice,0.6495
Cleanliness,comfortable everything clean,0.7305
Service,check ask,-0.0482
Cleanliness,dirty could,-0.3496
Cleanliness,dirty could see,-0.3252
Comfort,room next room,0.0820
Comfort,beds hard pillows,0.0413
Comfort,room extremely comfortable,0.7730
Comfort,room large king,0.4657
Comfort,told room would,0.0080
Service,staff rude uncaring,-0.5609
Service,poor service check,-0.3953
Comfort,key room,0.0957
Price,buffet price,0.2739
Comfort,casino rooms,0.3197
Comfort,room spa,0.3849
Comfort,room spa tower,0.3070
Comfort,fountains room,0.3845
Comfort,shower bed,0.6883
Service,outstanding front desk,0.7572
Service,desk bellman desk,0.6017
Comfort,room lack,-0.1336
Service,shame reception staff,0.2847
Comfort,fountain view room,0.1621
Location,walk hotels,0.5485
Comfort,quick room,0.5552
Comfort,rooms told,0.1181
Comfort,room coffee room,0.2236
